# WARP endpoints: 2868 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
8.39.214.215:500       34ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.70.181:2408       33ms          33ms      0%     RU         HEL    Helsinki, FI
8.6.112.131:500        44ms          33ms      0%     RU         HEL    Helsinki, FI
8.39.125.129:2408      40ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.227:2408      31ms          33ms      0%     RU         HEL    Helsinki, FI
8.34.146.198:2408      29ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.13:2408       34ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.132:500        30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.52:2408       43ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.62:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.183:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.118:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.132:500       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.63:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.252:500        40ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.69:2408    34ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.252:2408       28ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.153:2408   34ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.46:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.233:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.13:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.31:500        28ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.190:2408       41ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.235:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.235:500       29ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.204:2408   34ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.68:2408        38ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.214:2408   39ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.178:2408      33ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.202:2408      35ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.128:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.93:500         36ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.242:2408   32ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.82:2408    36ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.26:2408       34ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.175:2408       44ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.30:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.140:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.141:2408       34ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.183:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.44:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.121:500       36ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.178:2408   35ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.143:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.125:2408      39ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.241:2408      34ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.47:500         29ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.223:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.218:2408       53ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.96:2408       35ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.49:2408        52ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.210:2408      37ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.71:1701       47ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.158:2408       34ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.244:2408      34ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.69:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.198:2408       42ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.61:2408       29ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.239:2408      29ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.103:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
